Year,Observation status,Unit multiplier,SDG Series,Reference area,Unit of measure,Value
2016,Normal value,Units,Red List Index [15.5.1],,Index,0.9
2017,Normal value,Units,Red List Index [15.5.1],,Index,0.9
2018,Normal value,Units,Red List Index [15.5.1],,Index,0.9
2019,Normal value,Units,Red List Index [15.5.1],,Index,1.0
