Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2012,A,0,Forest area as a proportion of total land area [15.1.1],,Percent,38.7
2013,A,0,Forest area as a proportion of total land area [15.1.1],,Percent,38.7
2014,A,0,Forest area as a proportion of total land area [15.1.1],,Percent,38.8
2015,A,0,Forest area as a proportion of total land area [15.1.1],,Percent,39.0
2016,A,0,Forest area as a proportion of total land area [15.1.1],,Percent,39.0
2017,A,0,Forest area as a proportion of total land area [15.1.1],,Percent,41.0
2018,A,0,Forest area as a proportion of total land area [15.1.1],,Percent,42.9
