Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2017,A,0,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",,"Per 100,000 population",997
2018,A,0,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",,"Per 100,000 population",1063
2019,A,0,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",,"Per 100,000 population",739
2020,A,0,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",,"Per 100,000 population",1184
