Year,Observation status,Unit multiplier,SDG Series,Reference area,Unit of measure,Value
2016,Normal value,Units,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",Greater Accra,Micrograms per cubic meter,266
2017,Normal value,Units,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",Greater Accra,Micrograms per cubic meter,265
