From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SDG Series
SDG Series,Unit of measure
Unit of measure,Sex
Unit of measure,Age
Unit of measure,Degree of urbanisation
Unit of measure,Disability status
