From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SDG Series
SDG Series,Unit of measure
Unit of measure,Reference area
Age,Composite breakdown
Unit of measure,Age
Unit of measure,Degree of urbanisation
Unit of measure,COMMENT_OBS
