From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SDG Series
SDG Series,Composite breakdown
Unit of measure,Sex
Unit of measure,Degree of urbanisation
Unit of measure,Education level
Composite breakdown,Unit of measure
