Year,Value,SERIES
2016,35.55,Coverage of protected areas in relation to marine areas-Clean water
2017,35.25,Coverage of protected areas in relation to marine areas-Clean water
2018,35.25,Coverage of protected areas in relation to marine areas-Clean water
2019,33.61,Coverage of protected areas in relation to marine areas-Clean water
2020,33.49,Coverage of protected areas in relation to marine areas-Clean water
2021,33.37,Coverage of protected areas in relation to marine areas-Clean water
2016,81.3,Coverage of protected areas in relation to marine areas-Biodiversity
2017,81.14,Coverage of protected areas in relation to marine areas-Biodiversity
2018,80.5,Coverage of protected areas in relation to marine areas-Biodiversity
2019,80.49,Coverage of protected areas in relation to marine areas-Biodiversity
2020,80.46,Coverage of protected areas in relation to marine areas-Biodiversity
2021,80.46,Coverage of protected areas in relation to marine areas-Biodiversity
2016,87.85,Coverage of protected areas in relation to marine areas-Habitat (sub-goal)
2017,87.94,Coverage of protected areas in relation to marine areas-Habitat (sub-goal)
2018,87.08,Coverage of protected areas in relation to marine areas-Habitat (sub-goal)
2019,87.47,Coverage of protected areas in relation to marine areas-Habitat (sub-goal)
2020,87.85,Coverage of protected areas in relation to marine areas-Habitat (sub-goal)
2021,87.85,Coverage of protected areas in relation to marine areas-Habitat (sub-goal)
2016,74.76,Coverage of protected areas in relation to marine areas-Species condition (sub-goal)
2017,74.34,Coverage of protected areas in relation to marine areas-Species condition (sub-goal)
2018,73.92,Coverage of protected areas in relation to marine areas-Species condition (sub-goal)
2019,73.5,Coverage of protected areas in relation to marine areas-Species condition (sub-goal)
2020,73.08,Coverage of protected areas in relation to marine areas-Species condition (sub-goal)
2021,73.08,Coverage of protected areas in relation to marine areas-Species condition (sub-goal)
