Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2016,A,0,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,0.25
2017,A,0,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,0.08
2018,A,0,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,2.57
2019,A,0,"Total official flows (disbursements) for agriculture, by recipient countries [2.a.2]",,Percent,0.12
