Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2015,A,0,Foreign direct investment (FDI) inflows as a proportion of Gross National Income [17.3.1],,Percent,20.0
2016,A,0,Foreign direct investment (FDI) inflows as a proportion of Gross National Income [17.3.1],,Percent,26.0
2017,A,0,Foreign direct investment (FDI) inflows as a proportion of Gross National Income [17.3.1],,Percent,32.0
2018,A,0,Foreign direct investment (FDI) inflows as a proportion of Gross National Income [17.3.1],,Percent,24.0
2015,A,0,Official Development Assistance (ODA) inflows as a percentage of national budget,,Percent,18.9
2016,A,0,Official Development Assistance (ODA) inflows as a percentage of national budget,,Percent,12.2
2017,A,0,Official Development Assistance (ODA) inflows as a percentage of national budget,,Percent,10.2
