Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2017,A,0,_L_GH_covid,,PT,,0.79
2018,A,0,_L_GH_covid,,PT,,1.45
2019,A,0,_L_GH_covid,,PT,,1.42
2020,A,0,_L_GH_covid,,PT,,1.91
2021,A,0,_L_GH_covid,,PT,,3.64
