Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2016,A,0,Debt Service as a percentage of total domestic revenue,,Percent,47.3
2017,A,0,Debt Service as a percentage of total domestic revenue,,Percent,46.3
2018,A,0,Debt Service as a percentage of total domestic revenue,,Percent,45.4
2019,A,0,Debt Service as a percentage of total domestic revenue,,Percent,59.2
