Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2020,A,0,Beach litter per square kilometer (Number) [14.1.1],,Number,152134672
2019,A,0,Beach litter per square kilometer (Number) [14.1.1],,Number,179760103
2017,A,0,Beach litter per square kilometer (Number) [14.1.1],,Number,56875108
2016,A,0,Beach litter per square kilometer (Number) [14.1.1],,Number,33579283
