Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2016,A,0,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,115.8
2017,A,0,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,88.6
2018,A,0,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,90.5
2019,A,0,Primary government expenditures as a proportion of original approved budget [16.6.1],,Percent,92.5
