Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2012,A,0,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,4.7
2013,A,0,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,3.8
2014,A,0,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,5.2
2015,A,0,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,6.6
2016,A,0,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,3.4
2017,A,0,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,5.5
2018,A,0,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,3.9
2019,A,0,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],,Percent,3.8
