Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2016,A,0,Percentage of degraded areas within forest areas under protection,,Percent,31
2017,A,0,Percentage of degraded areas within forest areas under protection,,Percent,31
2018,A,0,Percentage of degraded areas within forest areas under protection,,Percent,37
