Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2016,A,0,Pro-Poor Share of Government Expenditure,,Percent,28.7
2017,A,0,Pro-Poor Share of Government Expenditure,,Percent,37.1
2018,A,0,Pro-Poor Share of Government Expenditure,,Percent,35.8
