Year,Observation status,Unit multiplier,SDG Series,Reference area,Unit of measure,Value
2016,Normal value,Units,Debt Service as a percentage of total domestic revenue,,Percent,47.3
2017,Normal value,Units,Debt Service as a percentage of total domestic revenue,,Percent,46.3
2018,Normal value,Units,Debt Service as a percentage of total domestic revenue,,Percent,45.4
2019,Normal value,Units,Debt Service as a percentage of total domestic revenue,,Percent,59.2
