Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2014,A,0,Labour share of GDP [10.4.1],,Percent,0.006
2015,A,0,Labour share of GDP [10.4.1],,Percent,0.007
2017,A,0,Labour share of GDP [10.4.1],,Percent,0.0056
