Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2010,A,0,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,"Per 100,000 population",4.3
2011,A,0,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,"Per 100,000 population",4.4
2012,A,0,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,"Per 100,000 population",5.9
2013,A,0,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,"Per 100,000 population",8.8
2014,A,0,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,"Per 100,000 population",8.9
2015,A,0,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,"Per 100,000 population",11.1
2016,A,0,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,"Per 100,000 population",12.1
2017,A,0,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,"Per 100,000 population",12.5
2018,A,0,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,"Per 100,000 population",12.8
2019,A,0,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",,"Per 100,000 population",11.3
2010,A,0,"Number of commercial bank branches per 100,000 adults [8.10.1]",,"Per 100,000 population",5.7
2011,A,0,"Number of commercial bank branches per 100,000 adults [8.10.1]",,"Per 100,000 population",5.7
2012,A,0,"Number of commercial bank branches per 100,000 adults [8.10.1]",,"Per 100,000 population",6.1
2013,A,0,"Number of commercial bank branches per 100,000 adults [8.10.1]",,"Per 100,000 population",6.1
2014,A,0,"Number of commercial bank branches per 100,000 adults [8.10.1]",,"Per 100,000 population",7.4
2015,A,0,"Number of commercial bank branches per 100,000 adults [8.10.1]",,"Per 100,000 population",7.6
2016,A,0,"Number of commercial bank branches per 100,000 adults [8.10.1]",,"Per 100,000 population",8.5
2017,A,0,"Number of commercial bank branches per 100,000 adults [8.10.1]",,"Per 100,000 population",9.2
2018,A,0,"Number of commercial bank branches per 100,000 adults [8.10.1]",,"Per 100,000 population",9.3
2019,A,0,"Number of commercial bank branches per 100,000 adults [8.10.1]",,"Per 100,000 population",6.3
