Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
1999,A,0,Proportion of population with access to electricity [7.1.1],,Percent,41.0
2006,A,0,Proportion of population with access to electricity [7.1.1],,Percent,49.2
2013,A,0,Proportion of population with access to electricity [7.1.1],,Percent,70.6
2017,A,0,Proportion of population with access to electricity [7.1.1],,Percent,81.1
2018,A,0,Proportion of population with access to electricity [7.1.1],,Percent,84.3
2019,A,0,Proportion of population with access to electricity [7.1.1],,Percent,85.0
2020,A,0,Proportion of population with access to electricity [7.1.1],,Percent,85.3
