Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2016,A,0,Red List Index [15.5.1],,Index,0.9
2017,A,0,Red List Index [15.5.1],,Index,0.9
2018,A,0,Red List Index [15.5.1],,Index,0.9
2019,A,0,Red List Index [15.5.1],,Index,1.0
