Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2017,A,0,Proportion of urban population living in slums [11.1.1],,Percent,39.3
2018,A,0,Proportion of urban population living in slums [11.1.1],,Percent,39.2
2019,A,0,Proportion of urban population living in slums [11.1.1],,Percent,38.9
2017,A,0,Urban population living in slums (number) [11.1.1],,Number,5500000.0
2018,A,0,Urban population living in slums (number) [11.1.1],,Number,5970000.0
2019,A,0,Urban population living in slums (number) [11.1.1],,Number,5950000.0
