Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2013,A,0,Per capita share of raw water (m3/per person/year),,m3/per person/year,1976
2014,A,0,Per capita share of raw water (m3/per person/year),,m3/per person/year,1942
2015,A,0,Per capita share of raw water (m3/per person/year),,m3/per person/year,1928
2016,A,0,Per capita share of raw water (m3/per person/year),,m3/per person/year,1927
2017,A,0,Per capita share of raw water (m3/per person/year),,m3/per person/year,1926
2018,A,0,Per capita share of raw water (m3/per person/year),,m3/per person/year,1922
2019,A,0,Per capita share of raw water (m3/per person/year),,m3/per person/year,1918
2020,A,0,Per capita share of raw water (m3/per person/year),,m3/per person/year,1916
