Indicator
#1-2-2
#1-3-1
#1-4-2
#1-5-1
#1-a-2
#1-b-1
#10-1-1
#10-3-1
#10-4-1
#10-7-1
#11-5-1
#12-3-1
#13-1-1
#14-1-1
#16-1-3
#16-1-4
#16-3-1
#16-4-2
#16-5-1
#16-5-2
#16-6-1
#16-b-1
#4-2-1
#4-3-1
#4-6-1
#4-a-1
#4-c-1
#5-2-1
#5-4-1
#5-a-1
#5-b-1
#6-1-1
#6-2-1
#6-3-1
#6-3-2
#8-3-1
#8-5-1
#8-7-1
#8-9-1
