Value,en,Disaggregation combinations using this value,Number of indicators
Cassava,Cassava,1,1
Fish(Artisanal),Fish(Artisanal),1,1
Fish(Marine),Fish(Marine),1,1
Maize,Maize,1,1
Rice,Rice,1,1
Sorghum,Sorghum,1,1
Yam,Yam,1,1
