Value,en,Disaggregation combinations using this value,Number of indicators
15 to 24 years old,15 to 24 years old,6,2
15 to 49 years old,15 to 49 years old,3,1
15 years old and over,15 years old and over,1,1
20 to 24 years old,20 to 24 years old,2,1
5 to 17 years old,5 to 17 years old,10,1
under 18 years old,under 18 years old,8,1
under 5 years old,under 5 years old,1,1
