Value,en,Disaggregation combinations using this value,Number of indicators
Early childhood education,Early childhood education,4,1
Lower secondary education,Lower secondary education,27,3
Pre-primary education,Pre-primary education,15,2
Primary 4,Primary 4,12,1
Primary 6,Primary 6,12,1
Primary education,Primary education,15,2
Upper secondary education,Upper secondary education,13,2
Upper secondary vocational education,Upper secondary vocational education,8,1
Vocational secondary education,Vocational secondary education,10,1
