Year,OBS_STATUS,UNIT_MULT,SDG Series,Reference area,Unit of measure,Value
2019,A,0,Proportion of urban solid waste regularly collected,,Percent,80
2018,A,0,Proportion of urban solid waste regularly collected,,Percent,80
2017,A,0,Proportion of urban solid waste regularly collected,,Percent,70
