Year,SERIES,Value
2020-06,_L_GH_covid3_01,10.9
2020-06,_L_GH_covid3_02,93.9
2020-06,_L_GH_covid3_03,29.4
2020-09,_L_GH_covid3_01,10.9
2020-09,_L_GH_covid3_02,95.7
2020-09,_L_GH_covid3_03,20.6
