Year,SDG Series,Value
2017,Coverage of protected areas in relation to marine areas-Clean water,35.25
2018,Coverage of protected areas in relation to marine areas-Clean water,35.25
2019,Coverage of protected areas in relation to marine areas-Clean water,33.61
2020,Coverage of protected areas in relation to marine areas-Clean water,33.49
2021,Coverage of protected areas in relation to marine areas-Clean water,33.37
2016,Coverage of protected areas in relation to marine areas-Biodiversity,81.3
2017,Coverage of protected areas in relation to marine areas-Biodiversity,81.14
2018,Coverage of protected areas in relation to marine areas-Biodiversity,80.5
2019,Coverage of protected areas in relation to marine areas-Biodiversity,80.49
2020,Coverage of protected areas in relation to marine areas-Biodiversity,80.46
2021,Coverage of protected areas in relation to marine areas-Biodiversity,80.46
2016,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),87.85
2017,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),87.94
2018,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),87.08
2019,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),87.47
2020,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),87.85
2021,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),87.85
2016,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),74.76
2017,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),74.34
2018,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),73.92
2019,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),73.5
2020,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),73.08
2021,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),73.08
