Year,Observation status,Unit multiplier,SDG Series,Reference area,Unit of measure,Value
2016,Normal value,Units,Percentage of degraded areas within forest areas under protection,,Percent,31
2017,Normal value,Units,Percentage of degraded areas within forest areas under protection,,Percent,31
2018,Normal value,Units,Percentage of degraded areas within forest areas under protection,,Percent,37
