Year,Observation status,Unit multiplier,SDG Series,Reference area,Unit of measure,Value
2013,Normal value,Units,Per capita share of raw water (m3/per person/year),,m3/per person/year,1976
2014,Normal value,Units,Per capita share of raw water (m3/per person/year),,m3/per person/year,1942
2015,Normal value,Units,Per capita share of raw water (m3/per person/year),,m3/per person/year,1928
2016,Normal value,Units,Per capita share of raw water (m3/per person/year),,m3/per person/year,1927
2017,Normal value,Units,Per capita share of raw water (m3/per person/year),,m3/per person/year,1926
2018,Normal value,Units,Per capita share of raw water (m3/per person/year),,m3/per person/year,1922
2019,Normal value,Units,Per capita share of raw water (m3/per person/year),,m3/per person/year,1918
2020,Normal value,Units,Per capita share of raw water (m3/per person/year),,m3/per person/year,1916
